Latitude,Longitude,Hour,Tag
-6.75,107.5,7,java
51.5063,-0.1271,7,android
32.095838,34.952177,7,c++
38.8799697,-77.1067698,7,javascript
-34.6085,-58.3735,8,android
-7.5,110.0,8,java
-43.5877,170.3666,8,android
-34.6085,-58.3735,8,android
48.8569,2.3412,8,android
59.4615,108.8318,9,android
-15.7785,-47.9287,10,android
21.7866,82.7948,11,android
40.4203,-3.7058,11,android
51.9189,19.1343,11,android
27.721668,85.361496,11,java
-6.75,107.5,11,java
-28.4832,24.677,12,android
-34.6085,-58.3735,13,android
-6.75,107.5,13,java
43.0442276,-78.7340199,13,java
40.4203,-3.7058,13,android
48.8569,2.3412,13,android
56.9547,-98.309,13,android
40.8360933,14.3063019,13,ios
15.5931,120.7391,14,android
35.4675602,-97.5164276,14,android
36.0331164,-86.7827772,14,java
-15.7785,-47.9287,14,android
40.98333333,29.12777778,15,android
-6.75,107.5,15,java
19.4319,-99.1329,15,android
35.7212689,-77.9155395,15,php
36.1539816,-95.992775,15,javascript
40.3572976,-74.6672226,15,php
41.9031,12.4958,16,android
40.85761724,-74.02498039,16,java
42.5735241,-87.8551999,16,java
49.2827291,-123.1207375,17,java
45.5230622,-122.6764816,17,java
40.4203,-3.7058,17,android
21.7866,82.7948,18,android
40.75566,-73.9264199,18,android
21.7866,82.7948,18,android
19.4319,-99.1329,18,android
51.5063,-0.1271,19,android
42.8678693,-71.4948322,19,java
40.4203,-3.7058,19,android
40.4203,-3.7058,19,android
48.8569,2.3412,20,android
40.7142,-74.0064,20,ios
-15.7785,-47.9287,21,android
25.7616798,-80.1917902,21,ios
38.7923,-90.6237,21,java
18.2233,-66.4289,22,android
-7.5,110.0,22,java
34.0522,-118.243,22,android
-7.5,110.0,22,java
-7.5,110.0,22,java
52.46415618,13.44325429,23,android
-6.75,107.5,23,java
26.3683064,-80.1289321,0,java
41.92331925,12.51396153,0,ios
-15.7785,-47.9287,0,android
34.083545,131.476304,0,android
33.979471,130.938414,1,android
38.8462236,-77.3063733,1,java
-7.5,110.0,2,java
21.7866,82.7948,2,android
-12.0436,-77.0212,2,android
-1.7899,-78.0958,2,android
-12.0436,-77.0212,2,android
19.36872592,-99.12150247,3,java
14.618,-90.5249,4,android
39.94547967,116.56328125,5,android
37.47697309,127.17607422,5,android
-26.231841,27.9346836,5,java
10.30757199,123.88987242,6,php
32.7940463,34.989571,6,java
-7.76485508,110.3796603,6,ios
-6.75,107.5,6,java
38.9071923,-77.0368707,6,java
34.021019,131.333312,7,android
32.095838,34.952177,7,c++
33.975497,131.920306,8,android
-34.6085,-58.3735,8,android
50.501,4.4768,8,android
-15.7785,-47.9287,8,android
56.9547,-98.309,8,android
46.813,8.4445,8,android
-33.463,-70.6479,8,android
-7.19667,107.43,8,java
4.6564,-74.1178,8,android
51.5123443,-0.0909852,8,java
18.4867,-69.9405,8,android
1.31219408,103.84679776,8,java
53.40684128,-2.97950602,8,android
-6.75,107.5,9,java
50.43558907,30.5064429,11,ios
10.496,-66.8983,11,android
10.496,-66.8983,11,android
-6.75,107.5,11,java
41.9031,12.4958,11,android
10.496,-66.8983,12,android
10.496,-66.8983,12,android
41.9031,12.4958,12,android
18.4100746,-66.0909634,12,java
52.2296756,21.0122287,12,java
36.33040929,139.01378239,12,java
36.33040929,139.01378239,12,java
-7.80138889,110.36444444,12,java
51.5063,-0.1271,12,android
10.496,-66.8983,12,android
40.7663711,-74.0253715,13,android
39.926813,-75.0246312,13,java
-15.7785,-47.9287,13,android
-6.88549128,107.59017344,13,java
-7.21207725,112.73308918,13,java
36.0331164,-86.7827772,14,java
53.5510846,9.9936819,14,php
39.6172101,-104.9508141,15,java
-7.93916667,112.95277778,15,java
-33.463,-70.6479,15,android
21.7866,82.7948,15,android
26.640628,-81.8723084,16,c#
59.4615,108.8318,16,android
41.9031,12.4958,18,android
-0.0244,37.9039,18,android
41.8771,12.57229,18,android
56.9547,-98.309,18,android
39.6837226,-75.7496572,18,python
21.7866,82.7948,18,android
21.7866,82.7948,19,android
24.70235846,46.69774439,20,java
44.977753,-93.2650108,20,java
21.7866,82.7948,21,android
40.4203,-3.7058,21,android
51.5063,-0.1271,21,android
-43.5877,170.3666,21,android
10.496,-66.8983,21,android
56.9547,-98.309,22,android
46.574,-85.256,22,java
-24.9162,133.3931,22,android
29.4241219,-98.4936282,23,java
-6.75,107.5,23,java
40.4557202,-3.4444855,0,android
-15.7785,-47.9287,2,android
40.7365685,-73.8783188,2,java
21.7866,82.7948,4,android
-6.92777,112.00833,4,java
21.7866,82.7948,4,android
-23.45127825,-46.64245605,5,android
32.095838,34.952177,7,c++
51.5063,-0.1271,7,android
